userCode;extId;moduleId;sessionId;sessionToken;trialId;executableId;module.PracticeLevelHandler.counter;module.PracticeLevelHandler.totalScore;module.PracticeLevelHandler.maxScore;module.PracticeLevelHandler.currentLevel;session.complete;session.condition;session.SessionID.sessionCode;session.PercentageKeep.sessionCode;session.ImportanceNontargets.sessionCode;session.Remember.sessionCode;session.ImportanceTargets.sessionCode;session.ActionRecall.sessionCode;session.TargetRecall.sessionCode;session.Birthyear.sessionCode;givenResponse;reactionTime;score;stimulusValue;stimulusType;correctResponse
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;1;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1486;0;SPEISEKARTE;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;2;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1754;0;ERLAHMEN;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;3;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;word;2076;1;LEBENSRAUM;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;4;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1327;1;CHIETOSCH;nonword;nonword
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;5;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;word;1255;1;WÄRMFLASCHE;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;6;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;word;3485;1;AUSAGIEREN;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;7;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1626;1;STIENBITT;nonword;nonword
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;8;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;word;1573;1;FESTIVITÄT;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;9;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;word;1136;1;ABSOLUTION;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;10;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;word;1076;1;STUDIERENDE;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;11;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1563;1;VIRBIAMURSCH;nonword;nonword
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;12;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1242;1;SOEBURKOET;nonword;nonword
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;13;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1751;0;SILBERBROKAT;word;word
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;14;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1905;1;UBZEILON;nonword;nonword
119401;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ng5UWHgI1579699081706;15;PracticeTrials;1;1;1;13;1;;VP2S2L;100;80;j;100;Leertaste;GHM;1986;nonword;1495;1;FROEMÖTUG;nonword;nonword
