userCode;extId;moduleId;sessionId;sessionToken;trialId;executableId;module.PracticeLevelHandler.counter;module.PracticeLevelHandler.totalScore;module.PracticeLevelHandler.maxScore;module.PracticeLevelHandler.currentLevel;session.complete;session.condition;session.SessionID.sessionCode;session.PercentageKeep.sessionCode;session.ImportanceNontargets.sessionCode;session.MonetaryMotivation.sessionCode;session.Remember.sessionCode;session.ActionRecall.sessionCode;session.TargetRecall.sessionCode;session.ImportanceTargets.sessionCode;session.Birthyear.sessionCode;givenResponse;reactionTime;score;stimulusValue;stimulusType;correctResponse
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;1;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1542;1;STRÄFLING;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;2;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;3738;1;FROEMÖTUG;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;3;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;2279;1;WANDBAATIL;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;4;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1099;1;ONBAZOHLBER;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;5;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1365;1;ULLIUNGUNG;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;6;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;2972;1;AUSAGIEREN;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;7;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1588;1;EINTRÄCHTIG;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;8;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;3115;1;STIENBITT;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;9;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1326;1;BAFÜHEGING;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;10;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1894;1;SOEBURKOET;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;11;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1921;1;FREGIRIO;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;12;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1248;1;ABSOLUTION;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;13;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1047;1;EINGLIEDERN;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;14;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1943;1;STÖCKWAUSU;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;15;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;937;1;CHIETOSCH;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;16;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1347;1;SPEISEWÜRZE;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;17;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1269;1;VERNEIGEN;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;18;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1449;1;SILBERBROKAT;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;19;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;828;1;AUSBLICK;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;20;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;852;1;LEBENSRAUM;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;21;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1016;1;TATEINHEIT;word;word
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;22;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1751;1;IEFTIULONG;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;23;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;nonword;1249;1;SCHRAFTBALD;nonword;nonword
125434;;c383dae1-7673-4015-bcce-f7f16e90c7d0;1;ruJD94xm1598525564858;24;PracticeTrials;1;1;1;14;1;;VP80S80L;100;50;50;n;   ;o..;70;1940;word;1308;1;WIDERWILLIG;word;word
