userCode;extId;moduleId;sessionId;sessionToken;trialId;executableId;module.PracticeLevelHandler.counter;module.PracticeLevelHandler.totalScore;module.PracticeLevelHandler.maxScore;module.PracticeLevelHandler.currentLevel;session.complete;session.condition;session.SessionID.sessionCode;session.ImportanceNontargets.sessionCode;session.MonetaryMotivation.sessionCode;session.Remember.sessionCode;session.ActionRecall.sessionCode;session.TargetRecall.sessionCode;session.ImportanceTargets.sessionCode;session.Birthyear.sessionCode;givenResponse;reactionTime;score;stimulusValue;stimulusType;correctResponse
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;1;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;1300;0;WIDERWILLIG;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;2;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;941;1;IBKÜMMIN;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;3;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;711;0;IBBOIWÄRDAG;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;4;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;1278;0;SILBERBROKAT;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;5;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;681;1;ULLIUNGUNG;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;6;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;740;1;SPEISEWÜRZE;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;7;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;769;1;ABSOLUTION;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;8;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;817;1;UNVERSTELLT;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;9;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;520;1;ZURÜCKLIEGEN;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;10;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;675;1;VIRBIAMURSCH;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;11;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;921;1;WANDBAATIL;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;12;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;658;1;STRÄFLING;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;13;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;596;1;INKINNTNOS;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;14;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;word;560;1;FESTIVITÄT;word;word
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;15;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;611;1;FREGIRIO;nonword;nonword
127382;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;xfu0F2LO1603713796490;16;PracticeTrials;1;1;1;12;1;;VP140S140C;80;50;j;leertaste;ghv;20;1991;nonword;659;1;DIRCHTRUNNT;nonword;nonword
