userCode;extId;moduleId;sessionId;sessionToken;trialId;executableId;module.PracticeLevelHandler.counter;module.PracticeLevelHandler.totalScore;module.PracticeLevelHandler.maxScore;module.PracticeLevelHandler.currentLevel;session.complete;session.condition;session.SessionID.sessionCode;session.PercentageKeep.sessionCode;session.ImportanceNontargets.sessionCode;session.Remember.sessionCode;session.ImportanceTargets.sessionCode;session.ActionRecall.sessionCode;session.TargetRecall.sessionCode;session.Birthyear.sessionCode;givenResponse;reactionTime;score;stimulusValue;stimulusType;correctResponse
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;1;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;805;1;FROEMÖTUG;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;2;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;724;1;ULLIUNGUNG;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;3;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;519;1;ZURÜCKLIEGEN;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;4;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;575;1;FREGIRIO;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;5;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;800;1;VIRBIAMURSCH;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;6;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;545;1;STRÄFLING;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;7;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;720;1;IEFTIULONG;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;8;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;677;0;SCHRAFTBALD;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;9;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;778;1;WÄRMFLASCHE;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;10;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;632;1;CHIETOSCH;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;11;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;668;1;ENGUHENDORT;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;12;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;673;1;WIDERWILLIG;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;13;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;483;1;STUDIERENDE;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;14;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;518;1;IBKÜMMIN;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;15;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;558;1;AUSBLICK;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;16;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;465;1;LEBENSRAUM;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;17;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;473;0;STÖCKWAUSU;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;18;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;637;0;VERNEIGEN;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;19;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;639;1;UBZEILON;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;20;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;715;1;SOEBURKOET;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;21;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;624;1;SILBERBROKAT;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;22;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;681;1;ATTRIBUTSATZ;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;23;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;541;1;AUSAGIEREN;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;24;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;900;1;WANDBAATIL;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;25;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;1053;1;BAFÜHEGING;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;26;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;488;1;STIENBITT;nonword;nonword
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;27;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;word;660;1;ABSOLUTION;word;word
119548;;721e38ca-1148-478e-a5d9-38981ff74d24;1;89dIDoV01580374680340;28;PracticeTrials;1;1;1;13;1;;vp5s5g;50;90;j;60;Leertaste;ghm;1992;nonword;714;1;DIRCHTRUNNT;nonword;nonword
