userCode;extId;moduleId;sessionId;sessionToken;trialId;executableId;module.PracticeLevelHandler.counter;module.PracticeLevelHandler.totalScore;module.PracticeLevelHandler.maxScore;module.PracticeLevelHandler.currentLevel;session.complete;session.condition;session.SessionID.sessionCode;session.ImportanceNontargets.sessionCode;session.MonetaryMotivation.sessionCode;session.Remember.sessionCode;session.ActionRecall.sessionCode;session.TargetRecall.sessionCode;session.ImportanceTargets.sessionCode;session.Birthyear.sessionCode;givenResponse;reactionTime;score;stimulusValue;stimulusType;correctResponse
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;1;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1686;1;FREGIRIO;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;2;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;word;897;1;AUSBLICK;word;word
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;3;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1429;1;SOEBURKOET;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;4;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;word;1371;1;LEBENSRAUM;word;word
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;5;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1807;1;UBZEILON;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;6;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1880;1;VIRBIAMURSCH;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;7;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1587;1;BAFÜHEGING;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;8;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;word;1360;1;VERNEIGEN;word;word
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;9;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1684;1;IBBOIWÄRDAG;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;10;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;word;1606;1;ABSOLUTION;word;word
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;11;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1408;1;ONBAZOHLBER;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;12;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;2286;1;SCHRAFTBALD;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;13;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;word;1929;1;EINGLIEDERN;word;word
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;14;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1507;1;FROEMÖTUG;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;15;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1242;1;WANDBAATIL;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;16;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;nonword;1698;1;STIENBITT;nonword;nonword
125571;;f1992cb0-4b2b-4b17-acd3-d2d9bcf72ef1;1;TbhGr0ru1599726453248;17;PracticeTrials;1;1;1;14;1;;VP92S92C;70;0;j;Leertaste;HGM;100;1999;word;1017;1;STUDIERENDE;word;word
